Time,Type
30.50592593,3
30.51085648,3
30.52123843,3
30.52560185,3
30.53349537,3
30.56039352,3
30.60521991,3
30.60571759,3
30.60778935,3
30.60854167,2
30.61166667,2
30.61206019,1
30.61270833,3
30.6208912,2
30.62123843,3
30.64299769,3
30.67228009,2
30.6737963,1
30.68834491,3
30.68855324,3
30.69417824,2
30.70356481,3
30.72576389,3
30.73790509,3
30.74354167,3
30.75302083,1
30.76319444,3
30.76574074,3
30.78894676,2
30.79413194,3
30.81699074,3
30.84956019,3
30.85457176,3
30.87525463,3
30.89398148,3
30.89506944,3
30.90561343,2
30.93479167,3
30.95950231,1
30.97123843,3
30.97826389,3
30.98212963,3
30.98309028,3
31.01271991,3
31.01398148,3
31.02228009,2
31.02951389,3
31.02980324,3
31.03123843,3
31.03640046,3
31.0405787,2
31.04429398,2
31.04645833,3
31.05384259,3
31.05577546,3
31.0571875,2
31.06003472,4
31.06003472,4
31.06149306,3
31.08790509,3
31.09103009,3
31.11833333,3
31.12599537,3
31.13894676,2
31.14818287,3
31.15482639,3
31.15686343,3
31.15789352,3
31.16681713,3
31.17418981,3
31.17590278,3
31.19297454,3
31.20086806,3
31.20190972,1
31.20291667,3
31.20457176,3
31.243125,3
31.25549769,3
31.25561343,2
31.27766204,3
31.27960648,3
31.28219907,3
31.30936343,3
31.31010417,3
31.32123843,3
31.37228009,2
31.40878472,3
31.41969907,3
31.42797454,3
31.43572917,3
31.43790509,3
31.44056713,3
31.44331019,3
31.45234954,3
31.48894676,2
31.49293981,3
31.49709491,3
31.51515046,1
31.53984954,3
31.54034722,3
31.55457176,3
31.55700231,2
31.55943287,3
31.55996528,3
31.58005787,1
31.59172454,3
31.59694444,3
31.6112037,3
31.63820602,3
31.64094907,1
31.64341435,3
31.64474537,2
31.65232639,3
31.65457176,3
31.65630787,2
31.65630787,2
31.65740741,3
31.665625,1
31.66609954,3
31.69019676,3
31.70561343,2
31.70616898,3
31.70635417,2
31.72925926,2
31.75659722,1
31.75675926,3
31.75836806,2
31.77123843,3
31.77297454,3
31.82228009,2
31.83061343,3
31.83194444,3
31.8328125,3
31.84180556,3
31.84189815,1
31.8419213,2
31.84591435,2
31.85043981,1
31.85322917,3
31.86075231,3
31.87259259,3
31.87280093,3
31.87471065,1
31.87530093,3
31.87777778,3
31.87893519,3
31.88292824,1
31.88594907,3
31.88790509,3
31.90667824,3
31.92159722,3
31.93252315,3
31.93274306,3
31.93456019,3
31.93868056,3
31.93894676,2
31.9437963,3
31.96662037,3
31.97361111,3
31.9778588,3
31.98283565,3
31.99244213,3
32.00186343,3
32.00457176,3
32.01233796,3
32.02158565,4
32.04211806,4
32.05561343,2
32.05726852,1
32.06939815,3
32.07196759,3
32.07774306,3
32.09543981,3
32.10457176,3
32.1603588,2
32.19092593,3
32.21081019,3
32.21453704,3
32.22123843,3
32.22297454,2
32.23447917,3
32.2346875,3
32.23611111,1
32.26770833,3
32.27288194,3
32.28498843,3
32.29334491,3
32.29559028,3
32.30947917,3
32.31951389,3
32.32678241,3
32.33260417,2
32.34575231,4
32.36375,3
